Product,Description,Category,Brand,Size,Function,Colour,Pallet,Quantity
CaQE90FiBl,Cabinet QEKI 900 Filing Black,Cabinet,QEKI,900,Filing,Black,8*1*1,8
CaQE90FiWh,Cabinet QEKI 900 Filing White,Cabinet,QEKI,900,Filing,White,8*1*1,8
CaQE90FiGr,Cabinet QEKI 900 Filing Grey,Cabinet,QEKI,900,Filing,Grey,8*1*1,8
CaQE90FiBe,Cabinet QEKI 900 Filing Beige,Cabinet,QEKI,900,Filing,Beige,8*1*1,8
CaQE90SlBl,Cabinet QEKI 900 Sliding Black,Cabinet,QEKI,900,Sliding,Black,8*1*1,8
CaQE90SlWh,Cabinet QEKI 900 Sliding White,Cabinet,QEKI,900,Sliding,White,8*1*1,8
CaQE90SlGr,Cabinet QEKI 900 Sliding Grey,Cabinet,QEKI,900,Sliding,Grey,8*1*1,8
CaQE90SlBe,Cabinet QEKI 900 Sliding Beige,Cabinet,QEKI,900,Sliding,Beige,8*1*1,8
CaQE90DoBl,Cabinet QEKI 900 Door Black,Cabinet,QEKI,900,Door,Black,8*1*1,8
CaQE90DoWh,Cabinet QEKI 900 Door White,Cabinet,QEKI,900,Door,White,8*1*1,8
CaQE90DoGr,Cabinet QEKI 900 Door Grey,Cabinet,QEKI,900,Door,Grey,8*1*1,8
CaQE90DoBe,Cabinet QEKI 900 Door Beige,Cabinet,QEKI,900,Door,Beige,8*1*1,8
CaQE90LoBl,Cabinet QEKI 900 Locker Black,Cabinet,QEKI,900,Locker,Black,8*1*1,8
CaQE90LoWh,Cabinet QEKI 900 Locker White,Cabinet,QEKI,900,Locker,White,8*1*1,8
CaQE90LoGr,Cabinet QEKI 900 Locker Grey,Cabinet,QEKI,900,Locker,Grey,8*1*1,8
CaQE90LoBe,Cabinet QEKI 900 Locker Beige,Cabinet,QEKI,900,Locker,Beige,8*1*1,8
CaQE18FiBl,Cabinet QEKI 1800 Filing Black,Cabinet,QEKI,1800,Filing,Black,8*1*1,8
CaQE18FiWh,Cabinet QEKI 1800 Filing White,Cabinet,QEKI,1800,Filing,White,8*1*1,8
CaQE18FiGr,Cabinet QEKI 1800 Filing Grey,Cabinet,QEKI,1800,Filing,Grey,8*1*1,8
