Product,Description,Category,Brand,Size,Function,Colour,Pallet,Quantity,Location,Staff,To,Customer,Task
TVGn75S4Bl,"TV Gnusmag 75"" S4K Black",TV,Gnusmag,"75""",S4K,Black,8*1*1,8,CZ19A,Emily,Despatch,30038,Pick
AlSu158GSi,"All-in-one Susa 15"" 8GB RAM Silver",All-in-one,Susa,"15""",8GB RAM,Silver,16*1*1,16,CZ54E,David,Despatch,30076,Pick
DrTE12LoWh,Drawer TEWOL 1200 Locker White,Drawer,TEWOL,1200,Locker,White,8*1*1,8,AP21B,Chris,Despatch,30040,Pick
MoPH27ErNa,Mouse PH 270 Ergonomic Navi,Mouse,PH,270,Ergonomic,Navi,16*10*1,160,AL60G,Emily,Despatch,30000,Pick
OfXELErBl,Office Chair XENO L Ergonomic Black,Office Chair,XENO,L,Ergonomic,Black,16*1*1,10,CZ25H,Alex,Despatch,30037,Pick
DrRG90LoBl,Drawer RGAP 900 Locker Black,Drawer,RGAP,900,Locker,Black,8*1*1,8,AN27A,Amy,Despatch,30039,Pick
CuWE12DoWh,Cupboard WENO 1200 Door White,Cupboard,WENO,1200,Door,White,8*1*1,2,CJ21F,Sarah,Despatch,30097,Pick
LaRe148GWh,"Laptop Rezar 14"" 8GB RAM White",Laptop,Rezar,"14""",8GB RAM,White,16*1*1,4,DL77B,Mike,Despatch,30015,Pick
SPRe50WaGr,SPen Reldeats 50 Watercolour Grey,SPen,Reldeats,50,Watercolour,Grey,48*10*5,1340,AT51D,John,Despatch,30026,Pick
CuRG90SlGr,Cupboard RGAP 900 Sliding Grey,Cupboard,RGAP,900,Sliding,Grey,8*1*1,8,AJ84C,Emily,Despatch,30057,Pick
NoGrA5liSi,Notebook Graph A5 line Silver,Notebook,Graph,A5,line,Silver,48*10*5,2400,DM68D,David,Despatch,30060,Pick
PrNoA4LaWh,Printer Nospe A4 Laser White,Printer,Nospe,A4,Laser,White,16*1*1,16,BH92A,Sarah,Despatch,30047,Pick
AlYn14i5Wh,"All-in-one Ynos 14"" i5 White",All-in-one,Ynos,"14""",i5,White,16*1*1,16,BN28E,Alex,Despatch,30030,Pick
AlPH15i5Bl,"All-in-one PH 15"" i5 Black",All-in-one,PH,"15""",i5,Black,16*1*1,1,CL75A,Alex,Despatch,30051,Pick
LaYn14i5Gr,"Laptop Ynos 14"" i5 Grey",Laptop,Ynos,"14""",i5,Grey,16*1*1,16,AZ54C,Amy,Despatch,30004,Pick
OfSELErBl,Office Chair SEWOL L Ergonomic Black,Office Chair,SEWOL,L,Ergonomic,Black,16*1*1,16,AZ67F,Sarah,Despatch,30086,Pick
TVEs75FHSi,"TV Esnesih 75"" FHD Silver",TV,Esnesih,"75""",FHD,Silver,8*1*1,8,CP18G,Mike,Despatch,30000,Pick
AlPH17i5Bl,"All-in-one PH 17"" i5 Black",All-in-one,PH,"17""",i5,Black,16*1*1,16,DW14F,Alex,Despatch,30033,Pick
