Product,Description,Category,Brand,Size,Function,Colour,Pallet,Quantity,Location,Staff,To,Customer,Task
TVYn32SFWh,"TV Ynos 32"" SFHD White",TV,Ynos,"32""",SFHD,White,8*1*1,6,CY59H,Amy,Despatch,30078,Pick
CaWE90FiBl,Cabinet WENO 900 Filing Black,Cabinet,WENO,900,Filing,Black,8*1*1,1,CP16D,John,Despatch,30088,Pick
CaRG90SlGr,Cabinet RGAP 900 Sliding Grey,Cabinet,RGAP,900,Sliding,Grey,8*1*1,8,DL48A,Chris,Despatch,30003,Pick
LaPH14i5Wh,"Laptop PH 14"" i5 White",Laptop,PH,"14""",i5,White,16*1*1,9,AH76E,Amy,Despatch,30060,Pick
PrNoA3AlWh,Printer Nospe A3 All-in-one White,Printer,Nospe,A3,All-in-one,White,16*1*1,16,BP25C,Emily,Despatch,30006,Pick
KeSu45MeBl,Keyboard Susa 450 Mechanical Black,Keyboard,Susa,450,Mechanical,Black,16*10*1,156,BU35F,Chris,Despatch,30070,Pick
CaRG18LoGr,Cabinet RGAP 1800 Locker Grey,Cabinet,RGAP,1800,Locker,Grey,8*1*1,8,BF67G,Alex,Despatch,30086,Pick
AlPH15i5Bl,"All-in-one PH 15"" i5 Black",All-in-one,PH,"15""",i5,Black,16*1*1,4,AK63H,Chris,Despatch,30086,Pick
KeSu35BlPi,Keyboard Susa 350 Bluetooth Pink,Keyboard,Susa,350,Bluetooth,Pink,16*10*1,53,CX32D,Laura,Despatch,30055,Pick
PeNa12SoGr,Pencil Nalin 12 Soluble Grey,Pencil,Nalin,12,Soluble,Grey,48*10*5,1686,AN89G,Emily,Despatch,30002,Pick
TVYn32SFSi,"TV Ynos 32"" SFHD Silver",TV,Ynos,"32""",SFHD,Silver,8*1*1,2,BO95G,Mike,Despatch,30050,Pick
TVGL50SFBl,"TV GL 50"" SFHD Black",TV,GL,"50""",SFHD,Black,8*1*1,8,CR24H,Amy,Despatch,30000,Pick
AlRe1416Gr,"All-in-one Rezar 14"" 16GB RAM Grey",All-in-one,Rezar,"14""",16GB RAM,Grey,16*1*1,16,CF51D,Chris,Despatch,30022,Pick
TaCI18WoSi,Table CITSATNAF 1800 Workstation Silver,Table,CITSATNAF,1800,Workstation,Silver,8*1*1,8,CG54A,Chris,Despatch,30012,Pick
SPNa50SoPi,SPen Nalin 50 Soluble Pink,SPen,Nalin,50,Soluble,Pink,48*10*5,2400,BW23C,Emily,Despatch,30081,Pick
SPNa24HeBl,SPen Nalin 24 Hexagonal Black,SPen,Nalin,24,Hexagonal,Black,48*10*5,260,DZ53F,Emily,Despatch,30050,Pick
MoPH45MeWh,Mouse PH 450 Mechanical White,Mouse,PH,450,Mechanical,White,16*10*1,39,AG13C,Jane,Despatch,30035,Pick
TVGn42FHWh,"TV Gnusmag 42"" FHD White",TV,Gnusmag,"42""",FHD,White,8*1*1,8,AU74E,John,Despatch,30065,Pick
TaCI18AdWh,Table CITSATNAF 1800 Adjustable White,Table,CITSATNAF,1800,Adjustable,White,8*1*1,8,BY19F,David,Despatch,30050,Pick
TVYn424KWh,"TV Ynos 42"" 4K White",TV,Ynos,"42""",4K,White,8*1*1,8,BY03G,Emily,Despatch,30083,Pick
LaYn14i7Gr,"Laptop Ynos 14"" i7 Grey",Laptop,Ynos,"14""",i7,Grey,16*1*1,16,DH24D,Jane,Despatch,30067,Pick
TaAE15AuSi,Table AEKI 1500 Auto Adjustable Silver,Table,AEKI,1500,Auto Adjustable,Silver,8*1*1,8,CV49B,Alex,Despatch,30062,Pick
TaCI18AdSi,Table CITSATNAF 1800 Adjustable Silver,Table,CITSATNAF,1800,Adjustable,Silver,8*1*1,8,AR16F,David,Despatch,30044,Pick
GaAEMAdWh,Gaming Chair AEKI M Adjustable White,Gaming Chair,AEKI,M,Adjustable,White,16*1*1,16,CR15B,Laura,Despatch,30031,Pick
CaQE12LoGr,Cabinet QEKI 1200 Locker Grey,Cabinet,QEKI,1200,Locker,Grey,8*1*1,6,BW97F,Mike,Despatch,30031,Pick
KeHc27BlBl,Keyboard Hcetigol 270 Bluetooth Black,Keyboard,Hcetigol,270,Bluetooth,Black,16*10*1,160,BO12D,Emily,Despatch,30015,Pick
CaQE90FiWh,Cabinet QEKI 900 Filing White,Cabinet,QEKI,900,Filing,White,8*1*1,3,AP55E,Alex,Despatch,30087,Pick
OfAESLeGr,Office Chair AEKI S Leather Grey,Office Chair,AEKI,S,Leather,Grey,16*1*1,16,AH96B,Mike,Despatch,30081,Pick
AlPH1732Bl,"All-in-one PH 17"" 32GB RAM Black",All-in-one,PH,"17""",32GB RAM,Black,16*1*1,3,BR97H,John,Despatch,30049,Pick
TaTR15AuGr,Table TRAMA 1500 Auto Adjustable Grey,Table,TRAMA,1500,Auto Adjustable,Grey,8*1*1,8,CY14B,John,Despatch,30044,Pick
KePH45BlBl,Keyboard PH 450 Bluetooth Black,Keyboard,PH,450,Bluetooth,Black,16*10*1,34,CY47B,Amy,Despatch,30003,Pick
DrRG12SlWh,Drawer RGAP 1200 Sliding White,Drawer,RGAP,1200,Sliding,White,8*1*1,8,BL76C,Chris,Despatch,30076,Pick
CuRG12FiBe,Cupboard RGAP 1200 Filing Beige,Cupboard,RGAP,1200,Filing,Beige,8*1*1,8,CV77F,Jane,Despatch,30002,Pick
TVGn65SFBl,"TV Gnusmag 65"" SFHD Black",TV,Gnusmag,"65""",SFHD,Black,8*1*1,8,CI91D,Alex,Despatch,30038,Pick
TVEs42SFGr,"TV Esnesih 42"" SFHD Grey",TV,Esnesih,"42""",SFHD,Grey,8*1*1,8,AH15F,Emily,Despatch,30075,Pick
KePH35MeNa,Keyboard PH 350 Mechanical Navi,Keyboard,PH,350,Mechanical,Navi,16*10*1,57,DL74F,Jane,Despatch,30062,Pick
CaWE90LoGr,Cabinet WENO 900 Locker Grey,Cabinet,WENO,900,Locker,Grey,8*1*1,8,AZ84D,Amy,Despatch,30056,Pick
AlYn1732Si,"All-in-one Ynos 17"" 32GB RAM Silver",All-in-one,Ynos,"17""",32GB RAM,Silver,16*1*1,1,DG04F,David,Despatch,30090,Pick
TVEs654KSi,"TV Esnesih 65"" 4K Silver",TV,Esnesih,"65""",4K,Silver,8*1*1,8,AJ91C,Alex,Despatch,30035,Pick
CaWE18DoWh,Cabinet WENO 1800 Door White,Cabinet,WENO,1800,Door,White,8*1*1,8,CF47F,Emily,Despatch,30051,Pick
TVGL32S4Wh,"TV GL 32"" S4K White",TV,GL,"32""",S4K,White,8*1*1,8,CN31G,Mike,Despatch,30043,Pick
AlYn14i7Wh,"All-in-one Ynos 14"" i7 White",All-in-one,Ynos,"14""",i7,White,16*1*1,3,AM33D,David,Despatch,30049,Pick
KeHc45WiPi,Keyboard Hcetigol 450 Wireled Pink,Keyboard,Hcetigol,450,Wireled,Pink,16*10*1,55,DO36F,Laura,Despatch,30052,Pick
NoGrA4doWh,Notebook Graph A4 dot White,Notebook,Graph,A4,dot,White,48*10*5,1251,AI57E,Laura,Despatch,30067,Pick
CuTE18DoBe,Cupboard TEWOL 1800 Door Beige,Cupboard,TEWOL,1800,Door,Beige,8*1*1,8,AS62E,Mike,Despatch,30090,Pick
AlSu15i5Gr,"All-in-one Susa 15"" i5 Grey",All-in-one,Susa,"15""",i5,Grey,16*1*1,16,AL71C,Sarah,Despatch,30051,Pick
PrPHA3MoWh,Printer PH A3 Mono White,Printer,PH,A3,Mono,White,16*1*1,16,AM72F,Alex,Despatch,30057,Pick
SPNa12WaWh,SPen Nalin 12 Watercolour White,SPen,Nalin,12,Watercolour,White,48*10*5,919,CN65D,Laura,Despatch,30033,Pick
MoHc27ErNa,Mouse Hcetigol 270 Ergonomic Navi,Mouse,Hcetigol,270,Ergonomic,Navi,16*10*1,160,DO43B,Mike,Despatch,30033,Pick
TaAE15FrWh,Table AEKI 1500 Frame White,Table,AEKI,1500,Frame,White,8*1*1,7,DY83A,John,Despatch,30093,Pick
LaOv15i7Bl,"Laptop Ovonel 15"" i7 Black",Laptop,Ovonel,"15""",i7,Black,16*1*1,16,AF45G,Jane,Despatch,30089,Pick
OfOGLAdPi,Office Chair OGAP L Adjustable Pink,Office Chair,OGAP,L,Adjustable,Pink,16*1*1,16,DS65E,Emily,Despatch,30028,Pick
CaQE12FiGr,Cabinet QEKI 1200 Filing Grey,Cabinet,QEKI,1200,Filing,Grey,8*1*1,8,CI07E,Laura,Despatch,30039,Pick
PrNoA3MoMi,Printer Nospe A3 Mono Mix,Printer,Nospe,A3,Mono,Mix,16*1*1,16,CX41E,Chris,Despatch,30019,Pick
PrReA4MoWh,Printer Rehtorb A4 Mono White,Printer,Rehtorb,A4,Mono,White,16*1*1,16,AF37F,Alex,Despatch,30046,Pick
DrWE12DoBe,Drawer WENO 1200 Door Beige,Drawer,WENO,1200,Door,Beige,8*1*1,8,AM41C,David,Despatch,30097,Pick
OfAELHeGr,Office Chair AEKI L Head pillow Grey,Office Chair,AEKI,L,Head pillow,Grey,16*1*1,14,AZ65H,Sarah,Despatch,30025,Pick
CuWE90FiGr,Cupboard WENO 900 Filing Grey,Cupboard,WENO,900,Filing,Grey,8*1*1,8,CJ96H,Amy,Despatch,30081,Pick
TVGL324KBl,"TV GL 32"" 4K Black",TV,GL,"32""",4K,Black,8*1*1,8,AY56G,Laura,Despatch,30088,Pick
CuTE12SlWh,Cupboard TEWOL 1200 Sliding White,Cupboard,TEWOL,1200,Sliding,White,8*1*1,8,CR57H,Alex,Despatch,30073,Pick
LaRe14i5Wh,"Laptop Rezar 14"" i5 White",Laptop,Rezar,"14""",i5,White,16*1*1,16,AV13G,David,Despatch,30031,Pick
OfSEMHeBl,Office Chair SEWOL M Head pillow Black,Office Chair,SEWOL,M,Head pillow,Black,16*1*1,8,CT54D,Alex,Despatch,30096,Pick
PrPHA2InMi,Printer PH A2 Inkjet Mix,Printer,PH,A2,Inkjet,Mix,16*1*1,16,AS52G,David,Despatch,30071,Pick
AlRe1416Si,"All-in-one Rezar 14"" 16GB RAM Silver",All-in-one,Rezar,"14""",16GB RAM,Silver,16*1*1,16,BR75G,Jane,Despatch,30038,Pick
AlPH178GBl,"All-in-one PH 17"" 8GB RAM Black",All-in-one,PH,"17""",8GB RAM,Black,16*1*1,3,DS13F,Amy,Despatch,30064,Pick
